Study Site,Source,Period Start,Period End,Probable Period,Weight (g),Reference
Helena Bay,Huruiki,1500,1769,Late,0.64,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.77,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.7,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.53,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.5,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.61,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.41,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.26,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.61,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,0.38,McCoy and Carpenter (2014)
Helena Bay,Huruiki,1500,1769,Late,2.05,McCoy and Carpenter (2014)
Mt Wellington,Cooks Beach,1580,1660,Late,0.36,McCoy and Carpenter (2014)
Mt Wellington,Cooks Beach,1580,1660,Late,2.2,McCoy and Carpenter (2014)
Mt Wellington,Cooks Beach,1580,1660,Late,9.2,McCoy and Carpenter (2014)
Mt Wellington,Cooks Beach,1580,1660,Late,1.97,McCoy and Carpenter (2014)
Mt Wellington,Fanal Island,1580,1660,Late,0.42,McCoy and Carpenter (2014)
Mt Wellington,Fanal Island,1580,1660,Late,0.24,McCoy and Carpenter (2014)
Mt Wellington,Fanal Island,1580,1660,Late,0.29,McCoy and Carpenter (2014)
Mt Wellington,Fanal Island,1580,1660,Late,0.97,McCoy and Carpenter (2014)
Mt Wellington,Fanal Island,1580,1660,Late,1.68,McCoy and Carpenter (2014)
Mt Wellington,Hahei,1580,1660,Late,0.53,McCoy and Carpenter (2014)
Mt Wellington,Hahei,1580,1660,Late,3.95,McCoy and Carpenter (2014)
Mt Wellington,Hahei,1580,1660,Late,0.14,McCoy and Carpenter (2014)
Mt Wellington,Huruiki,1580,1660,Late,0.31,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,0.42,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,0.27,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,10.89,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,2.31,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,1.78,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,0.25,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,1.12,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,5.74,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,4.87,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,2.47,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,1.63,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,6.36,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,2.09,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,0.13,McCoy and Carpenter (2014)
Mt Wellington,Mayor Island,1580,1660,Late,0.16,McCoy and Carpenter (2014)
Mt Wellington,Rotorua,1580,1660,Late,2.91,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,4.47,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.65,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.54,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.23,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.91,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.23,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.64,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.29,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.97,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.25,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.34,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.37,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.48,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.75,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,9.98,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.94,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.97,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.28,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.36,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.93,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.11,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,8.59,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.47,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.55,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.05,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.28,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.66,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.29,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,5.19,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.48,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.58,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.34,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.39,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.49,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.5,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.32,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.27,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.9,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,3.3,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.85,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.22,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.27,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.77,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.77,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.62,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.36,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.45,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.2,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.02,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.35,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.16,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.48,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.69,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,3.25,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,4.66,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.76,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.83,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,11.3,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,37.7,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.23,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.64,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.34,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.52,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.64,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.39,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.38,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.19,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.22,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.49,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,4,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.75,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.74,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.08,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,6.16,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.19,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.6,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.14,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.7,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.08,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.35,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,6.4,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.89,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,2.07,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.6,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.22,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.51,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.28,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.15,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.35,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.48,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.16,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.53,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.06,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,0.46,McCoy and Carpenter (2014)
Mt Wellington,Te Ahumata,1580,1660,Late,1.41,McCoy and Carpenter (2014)
Maungataketake,Cooks Beach,,,,1.1,Kneebone (2016)
Maungataketake,Cooks Beach,,,,1.1,Kneebone (2016)
Maungataketake,Cooks Beach,,,,1.1,Kneebone (2016)
Maungataketake,Cooks Beach,,,,1.1,Kneebone (2016)
Maungataketake,Cooks Beach,,,,1.1,Kneebone (2016)
Maungataketake,Cooks Beach,,,,1.1,Kneebone (2016)
Maungataketake,Cooks Beach,,,,1.1,Kneebone (2016)
Maungataketake,Cooks Beach,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Hahei,,,,1.1,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Mayor Island,,,,1.9,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
Maungataketake,Te Ahumata,,,,2,Kneebone (2016)
